Name,Notes,Subtask of
Feature tabs (BLK-feature-tabs),"New uga-caes/feature-tabs (generic; Student life is one instance). Synced panel swaps on select (view.js). Repeatable items (label/copy/image) as attributes. Source: student-life. Spec: PORTING.md BLK-feature-tabs.",Plugin blocks (new)
News (BLK-news),"New uga-caes/news - NOT caes-rss-feed. Pulls from CAES Field Report via a lighter source (pre-baked JSON or similar; TBD). Owns the asymmetric layout. Source: news. Spec: PORTING.md BLK-news.",Plugin blocks (new)
Stats (BLK-stats),"New uga-caes/stats - repeatable stat items (serif red number, optional % progress bar, condensed label) in a grid. Parent + uga-caes/stat child (InnerBlocks). Doubles as program outcome bars. Source: design-system (demo-statbars). Spec: PORTING.md BLK-stats.",Plugin blocks (new)
UGA footer (BLK-uga-footer),"New uga-caes/uga-footer - reused across UGA/CAES sites (plugin, not per-theme). Migrate the caes-faculty-2023 footer part into the block. Arch-bg SVG. Build before PART-footer. Source: uga-footer. Spec: PORTING.md BLK-uga-footer.",Plugin blocks (new)
Interior section footer (BLK-section-footer),"New uga-caes/section-footer resolver block + synced pattern per section. Resolver finds section = top-level ancestor, reads a reference field, renders the pattern. Stores no content. Depends on: TPL-interior. Source: interior-page. Spec: PORTING.md BLK-section-footer.",Plugin blocks (new)
Scroll-spy subnav (BLK-on-page-nav),"New uga-caes/on-page-nav - IntersectionObserver + sticky + active-link tracking (view.js). Template-part only. NOT caes-toc. Mobile collapse reuses BLK-nav. Source: program-detail (pd3-subnav). Spec: PORTING.md BLK-on-page-nav.",Plugin blocks (new)
Program search (BLK-program-search),"New uga-caes/program-search - faceted directory of the program CPT for the archive. view.js owns interactivity: free-text search, 3 multi-select filter modals (Interest/Type/Department) w/ counts, chips, cards<->table toggle, grouping, Double Dawgs modal. Depends on: Program CPT (CPT-tax, CPT-rel). Source: programs. Spec: PORTING.md BLK-program-search.",Plugin blocks (new)
Blocks for program details (BLK-program-fields),"Field blocks exposing program-detail content so each piece is placeable on the single-program template (bindings + small field blocks). Exact blocks TBD once CPT fields are settled. Source: program-detail. Spec: PORTING.md BLK-program-fields.",Plugin blocks (new)
Scholarships (BLK-scholarships),"New uga-caes/scholarships - pulls from CAES Scholarship DB (mechanism TBD). Name + open/close dates -> open/closed status + apply link when open. Check current CAES site for prior art. NOT in the demo. Spec: PORTING.md BLK-scholarships.",Plugin blocks (new)
Expert Resources (BLK-expert-resources),"New uga-caes/expert-resources - pulls the Expert Resources CPT from CAES Field Report (same source as BLK-news, different CPT/taxonomies; reuse news data mechanism). Filter by taxonomies. NOT in the demo. Spec: PORTING.md BLK-expert-resources.",Plugin blocks (new)
Experts search (BLK-expert-search),"New uga-caes/expert-search - faceted search of CAES experts; data in CAES Field Report (same source as BLK-news / BLK-expert-resources). Free-text + filter by expertise. view.js owns interactivity. NOT in the demo. Spec: PORTING.md BLK-expert-search.",Plugin blocks (new)
Newsletter Archive (BLK-newsletter-archive),"New uga-caes/newsletter-archive - lists past newsletters, apparently from MailChimp (mechanism TBD). TENTATIVE - needs feedback from Cindy / support team on source, list/campaigns, fields. NOT in the demo. Spec: PORTING.md BLK-newsletter-archive.",Plugin blocks (new)
Existing block updates,"Umbrella. Already live on other CAES sites - additive changes only; existing attributes/markup must keep rendering. Confirm consumers before editing. Spec: PORTING.md (Existing block updates).",
Personnel (directory / experts / cards) (MOD-personnel),"Reuse/extend uga-caes/personnel: faceted directory + expertise view + profile cards linking to Field Report. Additive only. OPEN: data source (personnel DB vs Field Report import). Source: directory, experts, connect. Spec: PORTING.md MOD-personnel.",Existing block updates
Locations / global map (MOD-locations),"Reuse the uga-caes/locations map family for the Global Programs Map. CPT-driven (MapLibre GL). ISSUE: location CPT is NOT registered in caes-blocks (lives in a separate caes-locations plugin) - decide where the CPT/source comes from. Spec: PORTING.md MOD-locations.",Existing block updates
Program CPT,"Umbrella. Register the program CPT in the plugin (theme-agnostic; survives a theme change). Public, archive enabled. Underlies the program templates. Build before the program templates. Spec: PORTING.md (Program CPT).",
Register program CPT (CPT-register),"Register the program post type (public; archive = Degrees & Programs; single = Program detail). Source: detail-hero, program-detail. Spec: PORTING.md CPT-register.",Program CPT
Taxonomies (CPT-tax),"Interest (primary filter; emoji term-meta), Program type (Major/Minor/Certificate/Graduate), Degree awarded (abbr + full name), Department (URL term-meta), Campus (Athens/Tifton/Griffin). Drives BLK-program-search filters. Spec: PORTING.md CPT-tax.",Program CPT
Meta fields (CPT-meta),"Summary/lead; Apply/Visit URL (global default + per-program override); How to prepare / Hands-on learning / Career roles (repeatable); Career outcomes (label + % + source); Double Dawgs eligible (bool); FAQ (repeatable Q+A). About/Coursework stays in post content. Spec: PORTING.md CPT-meta.",Program CPT
Relationships (CPT-rel),"Advisors -> personnel (rendered as MOD-personnel cards linking to Field Report); Double Dawgs pairings -> program (program-to-program to paired master's posts). Spec: PORTING.md CPT-rel.",Program CPT
Program header pattern (CPT-header),"Pattern assembling header fields (title, type, lead, facts, featured image, CTAs) via core blocks with Block Bindings + small field block(s). Default content of the single-program template (TPL-program-single). Spec: PORTING.md CPT-header.",Program CPT
